ID,isocountrycode,rd2015,rd2014,rd2013,rd2012,rd2011,ns2015,ns2014,ns2013,ns2012,ns2011,emp2015,emp2014,emp2013,emp2012,emp2011,pubs.2011,pubs.2012,pubs.2013,pubs.2014,pubs.2015
ID0199,GR,44.292745,45.088369,42.757994,37.475165,32.527147,194.176139,180.688933,161.497127,149.321132,108.479936,747,758,758,425,425,2,5,2,5,10
ID0200,US,50.45975143,48.0451283,42.656081,37.509971,31.601045,1303.068028,1245.578237,1151.276224,1047.883429,965.002562,10200,9460,8000,7800,7400,2,2,1,1,5
ID0201,US,105.2433401,61.25302444,42.556741,10.929592,14.409398,0.908563822,7.074908172,10.310348,27.067654,34.072947,270,204,146,103,98,0,4,6,10,10
ID0202,US,67.6514092,36.42014871,42.542964,26.141687,14.765427,13.45080996,NA,NA,NA,NA,406,115,73,64,NA,3,0,5,0,13
ID0203,US,19.4398463,30.20042879,41.983157,25.864998,20.903304,0.050757857,51.01408085,47.038592,25.148366,0.138511,78,81,91,71,61,15,17,23,23,12
ID0204,JP,39.28273032,39.25237867,41.082713,38.58993,39.967158,15343.54536,13564.03122,13691.13426,13046.44004,12807.64935,16208,15829,15287,14842,15155,15,9,11,7,5
ID0205,JP,41.0936607,43.05366147,40.965648,33.769632,31.43523,775.4982523,760.5182746,757.86794,727.438086,657.282089,3242,3335,2898,2831,2784,20,21,22,31,33
ID0206,CH,NA,NA,39.582984,32.819082,34.018788,NA,NA,553.021451,558.170834,564.131137,NA,NA,NA,2517,2452,1,1,1,1,1
ID0207,DE,53.7,49.2,39.5,38.1,33.1,1941.004,1862.035,1794.442,1758.377,1699.404,10346,10216,10257,10220,9966,10,13,4,12,12
ID0208,US,NA,NA,39.283592,24.848815,12.165906,NA,NA,579.311885,369.293027,158.196654,NA,NA,324,557,206,2,1,2,3,1
ID0209,US,72.13984619,60.59824962,39.084911,14.154159,8.231456,356.564648,66.07573822,69.994926,34.112103,20.287869,5936,674,623,549,268,2,3,8,12,14
ID0210,US,108.1930918,53.27390354,39.066784,39.069684,30.532957,357.2332004,291.117556,243.948958,221.748972,211.904146,535,489,421,378,328,15,13,18,12,20
ID0211,US,40.42638981,40.4263871,38.955842,48.000146,63.167285,289.174279,275.3978753,267.869632,229.116096,296.731934,959,1010,1026,232,1100,17,16,4,3,7
ID0212,US,19.49460971,2.308028754,38.662897,50.94047,6.781234,17.73549082,40.25888975,2.485679,2.485679,3.189762,67,50,51,43,25,2,0,6,0,1
ID0213,US,36.90452619,37.41282594,37.769561,36.989342,37.307665,640.0801605,673.1241477,606.347633,602.473367,565.642825,3500,3400,3300,3500,3400,12,21,16,17,11
ID0214,US,41.27114416,38.99719332,37.365674,31.3081,25.278081,456.9004367,425.3812799,396.813149,357.648475,318.314851,3700,3600,3139,2866,2548,1,3,6,4,0
ID0215,JP,39.26207322,37.07628163,37.267791,34.960934,33.907355,1457.991799,1409.415181,1400.441233,1323.591907,1207.746369,6129,6140,6244,6087,6167,78,61,57,85,121
ID0216,KR,39.42986839,43.07322148,36.963189,NA,NA,399.3444708,397.6605943,344.188765,NA,NA,NA,NA,NA,NA,NA,0,0,2,3,7
